-12557.3048801729,-5961.70872143365
-13330.4582464934,-5961.64358936689
-11669.4982377761,-5961.74183150205
-12795.2011595243,-5961.73267551066
-12286.9732779607,-5961.74391709473
-11895.6360352361,-5961.74423154469
-11476.5297980765,-5961.74980341545
-12985.6803517556,-5961.7470558185
-13300.2002602343,-5961.74946776095
-10329.1608292274,-5961.65817781454
-13468.6311114552,-5961.74328244232
-11900.4660340611,-5961.7430335242
-11766.4648467661,-5961.74608068456
-13015.368163638,-5961.74099615254
-12419.6192013555,-5961.74421947118
-12837.4775633148,-5961.7012158609
-12646.1901203395,-5961.66495367922
-12687.1491058736,-5961.74684894553
-12076.7992985557,-5961.68549837057
-13066.0358349327,-5961.75009527557
-12868.5562599879,-5961.74885391535
-12669.4410337839,-5961.75158522604
-13125.5001696958,-5961.74631945035
-13272.837488375,-5961.74127270531
-11974.3776973979,-5961.74778760428
-11332.3332906036,-5961.74061916928
-12981.494443005,-5961.70658022158
-11690.5300872966,-5961.75044261159
-12042.6241387912,-5961.74567385845
-12455.1076314617,-5961.74335550275
-11721.2932489783,-5961.74286818526
-13106.892563044,-5961.74806366906
-11938.9219989252,-5961.65488803992
-13091.6472320358,-5961.66567065981
-12413.8160795958,-5961.68107983112
-12454.5146000534,-5961.7430276008
-11532.8830351876,-5961.74591822211
-12796.6760987174,-5961.74655526983
-12738.2955115938,-5961.69125908696
-13064.6604309231,-5961.69110705572
-12985.5654271732,-5961.74014745192
-12407.571029071,-5961.7428973621
-12895.9397130783,-5961.74123200792
-13212.0932435441,-5961.74366690316
-10880.1658466518,-5961.7434723171
-13069.540422755,-5961.74080052695
-11857.3467381646,-5961.74390219604
-13120.5773537607,-5961.71303014822
-12782.709848889,-5961.71038593627
-12358.7966232834,-5961.74611771144
-12848.6924572095,-5961.73601134172
-12011.9799395194,-5961.74663325485
-13332.463928095,-5961.74550037953
-12545.6174941088,-5961.74355366786
-11520.7241030483,-5961.73333479118
-12588.8165617794,-5961.69406101454
-13061.365128771,-5961.74150765597
-12080.6990325355,-5961.74791387058
-12152.3464676379,-5961.74624719259
-13341.1640208352,-5961.71144183555
-12135.6473016643,-5961.7464865911
-11776.8174829218,-5961.74426718053
-12829.0910734467,-5961.74877392606
-12190.200543404,-5961.66191058231
